school_name,Primary School,address,postal_code,Planning Area,mainlevel_code
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,8    BISHAN STREET 13,579793,Bishan,PRIMARY
LAKESIDE PRIMARY SCHOOL,LAKESIDE PRIMARY SCHOOL,161  Corporation Walk,618310,Jurong West,PRIMARY
LIANHUA PRIMARY SCHOOL,LIANHUA PRIMARY SCHOOL,2    BUKIT BATOK STREET 52,659243,Bukit Batok,PRIMARY
MARSILING PRIMARY SCHOOL,MARSILING PRIMARY SCHOOL,31   WOODLANDS CENTRE ROAD,738927,Woodlands,PRIMARY
MAYFLOWER PRIMARY SCHOOL,MAYFLOWER PRIMARY SCHOOL,6    ANG MO KIO AVE 2,569948,Ang Mo Kio,PRIMARY
MERIDIAN PRIMARY SCHOOL,MERIDIAN PRIMARY SCHOOL,20   PASIR RIS ST 71,518798,Pasir Ris,PRIMARY
NAN CHIAU PRIMARY SCHOOL,NAN CHIAU PRIMARY SCHOOL,50   ANCHORVALE LINK,545080,Sengkang,PRIMARY
NAN HUA PRIMARY SCHOOL,NAN HUA PRIMARY SCHOOL,30   Jalan Lempeng,128806,Clementi,PRIMARY
NANYANG PRIMARY SCHOOL,NANYANG PRIMARY SCHOOL,52   KING'S ROAD,268097,Bukit Timah,PRIMARY
NAVAL BASE PRIMARY SCHOOL,NAVAL BASE PRIMARY SCHOOL,7    YISHUN AVE 4,769028,Yishun,PRIMARY
NEW TOWN PRIMARY SCHOOL,NEW TOWN PRIMARY SCHOOL,300  Tanglin Halt Road,148812,Queenstown,PRIMARY
NGEE ANN PRIMARY SCHOOL,NGEE ANN PRIMARY SCHOOL,344  MARINE TERRACE,449149,Marine Parade,PRIMARY
NORTH SPRING PRIMARY SCHOOL,NORTH SPRING PRIMARY SCHOOL,1    RIVERVALE STREET,545088,Sengkang,PRIMARY
NORTH VIEW PRIMARY SCHOOL,NORTH VIEW PRIMARY SCHOOL,210  YISHUN AVENUE 6,768960,Yishun,PRIMARY
NORTH VISTA PRIMARY SCHOOL,NORTH VISTA PRIMARY SCHOOL,20   Compassvale Link,544974,Sengkang,PRIMARY
NORTHLAND PRIMARY SCHOOL,NORTHLAND PRIMARY SCHOOL,15   YISHUN AVENUE 4,769026,Yishun,PRIMARY
NORTHOAKS PRIMARY SCHOOL,NORTHOAKS PRIMARY SCHOOL,61   Sembawang Drive,757622,Sembawang,PRIMARY
OASIS PRIMARY SCHOOL,OASIS PRIMARY SCHOOL,71   Edgefield Plains,828716,Punggol,PRIMARY
OPERA ESTATE PRIMARY SCHOOL,OPERA ESTATE PRIMARY SCHOOL,48   FIDELIO STREET,458436,Bedok,PRIMARY
PALM VIEW PRIMARY SCHOOL,PALM VIEW PRIMARY SCHOOL,150  Compassvale Bow,544822,Sengkang,PRIMARY
PARK VIEW PRIMARY SCHOOL,PARK VIEW PRIMARY SCHOOL,60   PASIR RIS DRIVE 1,519524,Pasir Ris,PRIMARY
PASIR RIS PRIMARY SCHOOL,PASIR RIS PRIMARY SCHOOL,5    PASIR RIS STREET 21,518968,Pasir Ris,PRIMARY
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7    PEI WAH AVENUE,597610,Bukit Timah,PRIMARY
PEI TONG PRIMARY SCHOOL,PEI TONG PRIMARY SCHOOL,15   CLEMENTI AVENUE 5,129857,Clementi,PRIMARY
PEIYING PRIMARY SCHOOL,PEIYING PRIMARY SCHOOL,651  YISHUN RING ROAD,768687,Yishun,PRIMARY
PIONEER PRIMARY SCHOOL,PIONEER PRIMARY SCHOOL,23   JURONG WEST STREET 81,649076,Jurong West,PRIMARY
PRINCESS ELIZABETH PRIMARY SCHOOL,PRINCESS ELIZABETH PRIMARY SCHOOL,30   BUKIT BATOK WEST AVENUE 3,659163,Bukit Batok,PRIMARY
PUNGGOL COVE PRIMARY SCHOOL,PUNGGOL COVE PRIMARY SCHOOL,52   Sumang Walk,828674,Punggol,PRIMARY
PUNGGOL GREEN PRIMARY SCHOOL,PUNGGOL GREEN PRIMARY SCHOOL,98   Punggol Walk,828772,Punggol,PRIMARY
PUNGGOL PRIMARY SCHOOL,PUNGGOL PRIMARY SCHOOL,61   HOUGANG AVENUE 8,538787,Hougang,PRIMARY
PUNGGOL VIEW PRIMARY SCHOOL,PUNGGOL VIEW PRIMARY SCHOOL,9    Punggol Place,828845,Punggol,PRIMARY
QIFA PRIMARY SCHOOL,QIFA PRIMARY SCHOOL,50   WEST COAST AVENUE,128104,Clementi,PRIMARY
QIHUA PRIMARY SCHOOL,QIHUA PRIMARY SCHOOL,5    WOODLANDS STREET 81,738525,Woodlands,PRIMARY
QUEENSTOWN PRIMARY SCHOOL,QUEENSTOWN PRIMARY SCHOOL,310  MARGARET DR,149303,Queenstown,PRIMARY
RADIN MAS PRIMARY SCHOOL,RADIN MAS PRIMARY SCHOOL,1    BUKIT PURMEI AVENUE,99840,Bukit Merah,PRIMARY
RAFFLES GIRLS' PRIMARY SCHOOL,RAFFLES GIRLS' PRIMARY SCHOOL,21   Hillcrest Road,289072,Bukit Timah,PRIMARY
RIVER VALLEY PRIMARY SCHOOL,RIVER VALLEY PRIMARY SCHOOL,2    RIVER VALLEY GREEN,237993,Central,PRIMARY
RIVERSIDE PRIMARY SCHOOL,RIVERSIDE PRIMARY SCHOOL,110  Woodlands Crescent,737803,Woodlands,PRIMARY
RIVERVALE PRIMARY SCHOOL,RIVERVALE PRIMARY SCHOOL,80   RIVERVALE DRIVE,545092,Sengkang,PRIMARY
RULANG PRIMARY SCHOOL,RULANG PRIMARY SCHOOL,6    JURONG WEST STREET 52,649295,Jurong West,PRIMARY
SEMBAWANG PRIMARY SCHOOL,SEMBAWANG PRIMARY SCHOOL,10   SEMBAWANG DRIVE,757715,Sembawang,PRIMARY
Sengkang PRIMARY SCHOOL,Sengkang PRIMARY SCHOOL,21   COMPASSVALE WALK,545166,Sengkang,PRIMARY
SENGKANG GREEN PRIMARY SCHOOL,SENGKANG GREEN PRIMARY SCHOOL,15   Fernvale Road,797636,Sengkang,PRIMARY
SHUQUN PRIMARY SCHOOL,SHUQUN PRIMARY SCHOOL,8    JURONG WEST STREET 51,649332,Jurong West,PRIMARY
SI LING PRIMARY SCHOOL,SI LING PRIMARY SCHOOL,61   WOODLANDS AVENUE 1,739067,Woodlands,PRIMARY
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,190  DUNEARN ROAD,309437,Novena,PRIMARY
SOUTH VIEW PRIMARY SCHOOL,SOUTH VIEW PRIMARY SCHOOL,6    Choa Chu Kang Central,689762,Choa Chu Kang,PRIMARY
SPRINGDALE PRIMARY SCHOOL,SPRINGDALE PRIMARY SCHOOL,71   Anchorvale Link,544799,Sengkang,PRIMARY
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1602 BEDOK NORTH AVE 4,469701,Bedok,PRIMARY
ST. ANTHONY'S PRIMARY SCHOOL,ST. ANTHONY'S PRIMARY SCHOOL,30   Bukit Batok St 32,659401,Bukit Batok,PRIMARY
ST. GABRIEL'S PRIMARY SCHOOL,ST. GABRIEL'S PRIMARY SCHOOL,220  Lorong Chuan,556742,Serangoon,PRIMARY
ST. HILDA'S PRIMARY SCHOOL,ST. HILDA'S PRIMARY SCHOOL,2    Tampines Ave 3,529706,Tampines,PRIMARY
ST. MARGARET'S PRIMARY SCHOOL,ST. MARGARET'S PRIMARY SCHOOL,2    MATTAR ROAD,387724,Central,PRIMARY
STAMFORD PRIMARY SCHOOL,STAMFORD PRIMARY SCHOOL,1    VICTORIA LANE,198423,Central,PRIMARY
TAMPINES NORTH PRIMARY SCHOOL,TAMPINES NORTH PRIMARY SCHOOL,30   TAMPINES AVENUE 9,529565,Tampines,PRIMARY
TAMPINES PRIMARY SCHOOL,TAMPINES PRIMARY SCHOOL,250  TAMPINES STREET 12,529426,Tampines,PRIMARY
TANJONG KATONG PRIMARY SCHOOL,TANJONG KATONG PRIMARY SCHOOL,860  NEW UPPER CHANGI ROAD,467353,Marine Parade,PRIMARY
TECK GHEE PRIMARY SCHOOL,TECK GHEE PRIMARY SCHOOL,1    ANG MO KIO STREET 32,569299,Ang Mo Kio,PRIMARY
TECK WHYE PRIMARY SCHOOL,TECK WHYE PRIMARY SCHOOL,11   TECK WHYE WALK,688261,Choa Chu Kang,PRIMARY
TELOK KURAU PRIMARY SCHOOL,TELOK KURAU PRIMARY SCHOOL,50   BEDOK RESERVOIR RD,479239,Bedok,PRIMARY
TEMASEK PRIMARY SCHOOL,TEMASEK PRIMARY SCHOOL,501  BEDOK SOUTH AVE 3,469300,Bedok,PRIMARY
TOWNSVILLE PRIMARY SCHOOL,TOWNSVILLE PRIMARY SCHOOL,3    ANG MO KIO AVE 10,569730,Ang Mo Kio,PRIMARY
UNITY PRIMARY SCHOOL,UNITY PRIMARY SCHOOL,21   CHOA CHU KANG CRESCENT,688268,Choa Chu Kang,PRIMARY
VALOUR PRIMARY SCHOOL,VALOUR PRIMARY SCHOOL,52   Sumang Walk,828674,Punggol,PRIMARY
WATERWAY PRIMARY SCHOOL,WATERWAY PRIMARY SCHOOL,70   Punggol Drive,828802,Punggol,PRIMARY
WELLINGTON PRIMARY SCHOOL,WELLINGTON PRIMARY SCHOOL,10   WELLINGTON CIRCLE,757702,Sembawang,PRIMARY
WEST GROVE PRIMARY SCHOOL,WEST GROVE PRIMARY SCHOOL,1    JURONG WEST ST 72,649223,Jurong West,PRIMARY
WEST SPRING PRIMARY SCHOOL,WEST SPRING PRIMARY SCHOOL,60   Bukit Panjang Ring Road,679946,Bukit Panjang,PRIMARY
WEST VIEW PRIMARY SCHOOL,WEST VIEW PRIMARY SCHOOL,31   SENJA ROAD,677742,Bukit Panjang,PRIMARY
WESTWOOD PRIMARY SCHOOL,WESTWOOD PRIMARY SCHOOL,1    Jurong West Street 73,649188,Jurong West,PRIMARY
WHITE SANDS PRIMARY SCHOOL,WHITE SANDS PRIMARY SCHOOL,2    PASIR RIS ST 11,519075,Pasir Ris,PRIMARY
WOODGROVE PRIMARY SCHOOL,WOODGROVE PRIMARY SCHOOL,2    WOODLANDS DRIVE 14,738079,Woodlands,PRIMARY
WOODLANDS PRIMARY SCHOOL,WOODLANDS PRIMARY SCHOOL,10   WOODLANDS DRIVE 50,738853,Woodlands,PRIMARY
WOODLANDS RING PRIMARY SCHOOL,WOODLANDS RING PRIMARY SCHOOL,11   WOODLANDS RING ROAD,738240,Woodlands,PRIMARY
XINGHUA PRIMARY SCHOOL,XINGHUA PRIMARY SCHOOL,45   HOUGANG AVENUE 1,538882,Hougang,PRIMARY
XINGNAN PRIMARY SCHOOL,XINGNAN PRIMARY SCHOOL,5    JURONG WEST STREET 91,649036,Jurong West,PRIMARY
XINMIN PRIMARY SCHOOL,XINMIN PRIMARY SCHOOL,9    HOUGANG AVENUE 8,538784,Hougang,PRIMARY
XISHAN PRIMARY SCHOOL,XISHAN PRIMARY SCHOOL,8    YISHUN STREET 21,768611,Yishun,PRIMARY
YANGZHENG PRIMARY SCHOOL,YANGZHENG PRIMARY SCHOOL,15   SERANGOON AVENUE 3,556108,Serangoon,PRIMARY
YEW TEE PRIMARY SCHOOL,YEW TEE PRIMARY SCHOOL,10   CHOA CHU KANG ST 64,689100,Choa Chu Kang,PRIMARY
YIO CHU KANG PRIMARY SCHOOL,YIO CHU KANG PRIMARY SCHOOL,1    HOUGANG STREET 51,538720,Hougang,PRIMARY
YISHUN PRIMARY SCHOOL,YISHUN PRIMARY SCHOOL,500  YISHUN RING ROAD,768679,Yishun,PRIMARY
YU NENG PRIMARY SCHOOL,YU NENG PRIMARY SCHOOL,56   BEDOK NORTH ST 3,469623,#N/A,na
YUHUA PRIMARY SCHOOL,YUHUA PRIMARY SCHOOL,158  JURONG EAST STREET 24,609558,Jurong East,PRIMARY
YUMIN PRIMARY SCHOOL,YUMIN PRIMARY SCHOOL,3    TAMPINES STREET 21,529393,Tampines,PRIMARY
ZHANGDE PRIMARY SCHOOL,ZHANGDE PRIMARY SCHOOL,51   Jalan Membina,169485,Bukit Merah,PRIMARY
ZHENGHUA PRIMARY SCHOOL,ZHENGHUA PRIMARY SCHOOL,9    Fajar Road,679002,Bukit Panjang,PRIMARY
ZHONGHUA PRIMARY SCHOOL,ZHONGHUA PRIMARY SCHOOL,12   SERANGOON AVENUE 4,556095,Serangoon,PRIMARY
